,order_date,demand
214,2017-04-17,58.0
215,2017-04-18,71.0
216,2017-04-19,93.0
217,2017-04-20,91.0
218,2017-04-21,66.0
219,2017-04-22,82.0
220,2017-04-23,84.0
221,2017-04-24,110.0
222,2017-04-25,106.0
223,2017-04-26,122.0
224,2017-04-27,75.0
225,2017-04-28,95.0
226,2017-04-29,70.0
227,2017-04-30,66.0
228,2017-05-01,111.0
229,2017-05-02,122.0
230,2017-05-03,101.0
231,2017-05-04,107.0
232,2017-05-05,104.0
233,2017-05-06,103.0
234,2017-05-07,102.0
235,2017-05-08,120.0
236,2017-05-09,120.0
237,2017-05-10,109.0
238,2017-05-11,124.0
239,2017-05-12,105.0
240,2017-05-13,67.0
241,2017-05-14,108.0
242,2017-05-15,149.0
243,2017-05-16,149.0
244,2017-05-17,139.0
245,2017-05-18,124.0
246,2017-05-19,140.0
247,2017-05-20,70.0
248,2017-05-21,145.0
249,2017-05-22,145.0
250,2017-05-23,120.0
251,2017-05-24,140.0
252,2017-05-25,103.0
253,2017-05-26,77.0
254,2017-05-27,77.0
255,2017-05-28,98.0
256,2017-05-29,151.0
257,2017-05-30,98.0
258,2017-05-31,118.0
259,2017-06-01,123.0
260,2017-06-02,123.0
261,2017-06-03,88.0
262,2017-06-04,99.0
263,2017-06-05,142.0
264,2017-06-06,128.0
265,2017-06-07,122.0
266,2017-06-08,134.0
267,2017-06-09,105.0
268,2017-06-10,72.0
269,2017-06-11,111.0
270,2017-06-12,121.0
271,2017-06-13,121.0
272,2017-06-14,128.0
273,2017-06-15,103.0
274,2017-06-16,94.0
275,2017-06-17,72.0
276,2017-06-18,87.0
277,2017-06-19,152.0
278,2017-06-20,90.0
279,2017-06-21,34.0
280,2017-06-22,83.0
281,2017-06-23,103.0
282,2017-06-24,74.0
283,2017-06-25,99.0
284,2017-06-26,67.0
285,2017-06-27,140.0
286,2017-06-28,117.0
287,2017-06-29,110.0
288,2017-06-30,93.0
289,2017-07-01,77.0
290,2017-07-02,102.0
291,2017-07-03,111.0
292,2017-07-04,120.0
293,2017-07-05,138.0
294,2017-07-06,140.0
295,2017-07-07,114.0
296,2017-07-08,83.0
297,2017-07-09,88.0
298,2017-07-10,140.0
299,2017-07-11,158.0
300,2017-07-12,145.0
301,2017-07-13,131.0
302,2017-07-14,148.0
303,2017-07-15,97.0
304,2017-07-16,107.0
305,2017-07-17,162.0
306,2017-07-18,188.0
307,2017-07-19,148.0
308,2017-07-20,139.0
309,2017-07-21,112.0
310,2017-07-22,87.0
311,2017-07-23,101.0
312,2017-07-24,157.0
313,2017-07-25,145.0
314,2017-07-26,117.0
315,2017-07-27,121.0
316,2017-07-28,130.0
317,2017-07-29,109.0
318,2017-07-30,114.0
319,2017-07-31,143.0
320,2017-08-01,161.0
321,2017-08-02,149.0
322,2017-08-03,144.0
323,2017-08-04,139.0
324,2017-08-05,113.0
325,2017-08-06,105.0
326,2017-08-07,157.0
327,2017-08-08,146.0
328,2017-08-09,140.0
329,2017-08-10,154.0
330,2017-08-11,133.0
331,2017-08-12,91.0
332,2017-08-13,90.0
333,2017-08-14,153.0
334,2017-08-15,186.0
335,2017-08-16,166.0
336,2017-08-17,153.0
337,2017-08-18,141.0
338,2017-08-19,106.0
339,2017-08-20,103.0
340,2017-08-21,172.0
341,2017-08-22,135.0
342,2017-08-23,111.0
343,2017-08-24,123.0
344,2017-08-25,117.0
345,2017-08-26,89.0
346,2017-08-27,115.0
347,2017-08-28,150.0
348,2017-08-29,135.0
349,2017-08-30,173.0
350,2017-08-31,143.0
351,2017-09-01,153.0
352,2017-09-02,102.0
353,2017-09-03,123.0
354,2017-09-04,147.0
355,2017-09-05,151.0
356,2017-09-06,138.0
357,2017-09-07,97.0
358,2017-09-08,111.0
359,2017-09-09,103.0
360,2017-09-10,132.0
361,2017-09-11,176.0
362,2017-09-12,200.0
363,2017-09-13,203.0
364,2017-09-14,163.0
365,2017-09-15,144.0
366,2017-09-16,125.0
367,2017-09-17,125.0
368,2017-09-18,179.0
369,2017-09-19,149.0
370,2017-09-20,158.0
371,2017-09-21,144.0
372,2017-09-22,133.0
373,2017-09-23,81.0
374,2017-09-24,112.0
375,2017-09-25,129.0
376,2017-09-26,174.0
377,2017-09-27,144.0
378,2017-09-28,140.0
379,2017-09-29,109.0
380,2017-09-30,105.0
381,2017-10-01,124.0
382,2017-10-02,140.0
383,2017-10-03,193.0
384,2017-10-04,156.0
385,2017-10-05,138.0
386,2017-10-06,124.0
387,2017-10-07,100.0
388,2017-10-08,124.0
389,2017-10-09,187.0
390,2017-10-10,175.0
391,2017-10-11,151.0
392,2017-10-12,136.0
393,2017-10-13,150.0
394,2017-10-14,114.0
395,2017-10-15,117.0
396,2017-10-16,188.0
397,2017-10-17,195.0
398,2017-10-18,176.0
399,2017-10-19,172.0
400,2017-10-20,118.0
401,2017-10-21,104.0
402,2017-10-22,152.0
403,2017-10-23,152.0
404,2017-10-24,162.0
405,2017-10-25,152.0
406,2017-10-26,140.0
407,2017-10-27,130.0
408,2017-10-28,85.0
409,2017-10-29,129.0
410,2017-10-30,138.0
411,2017-10-31,156.0
412,2017-11-01,108.0
413,2017-11-02,117.0
414,2017-11-03,138.0
415,2017-11-04,106.0
416,2017-11-05,137.0
417,2017-11-06,182.0
418,2017-11-07,154.0
419,2017-11-08,169.0
420,2017-11-09,182.0
421,2017-11-10,159.0
422,2017-11-11,152.0
423,2017-11-12,170.0
424,2017-11-13,197.0
425,2017-11-14,184.0
426,2017-11-15,176.0
427,2017-11-16,219.0
428,2017-11-17,185.0
429,2017-11-18,141.0
430,2017-11-19,157.0
431,2017-11-20,219.0
432,2017-11-21,222.0
